"Source:","/home/nijo/workspace/nahs-Bricks-GitHub/SignalBrick/kicad/nahs-SignalBrick_v1.0_r4/nahs-SignalBrick_v1.0_r4.kicad_sch"
"Date:","Sa 14 Jan 2023 23:08:07 CET"
"Tool:","Eeschema 6.0.10-86aedd382b~118~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","69"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"BT1, ","1","HA_18650_EK","HA_18650_EK","no_common:HA_18650_EK","Single-cell battery",""
"C2, C3, C4, C6, ","4","10µF","C","no_common:C_0805_2012Metric","Unpolarized capacitor",""
"C5, ","1","100nF","C","no_common:C_0805_2012Metric","Unpolarized capacitor",""
"D1, ","1","1N4148WL","1N4148WL","Diode_SMD:D_SOD-123F","100V 0.15A standard switching diode",""
"FID1, FID2, FID3, ","3","Fiducial","Fiducial","Fiducial:Fiducial_1mm_Mask2mm","Fiducial Marker",""
"IC1, ","1","ESP12S","ESP12S","no_expressif:ESP12S","",""
"IC2, ","1","ATTINY212","ATTINY212","no_common:SOIC8","",""
"J1, ","1","Brick-Interface-V4","Brick-Interface-V4","no_brick_interface:Brick_Interface_V4_inset","",""
"J2, ","1","USB_B_Mini","USB_B_Mini","Connector_USB:USB_Micro-B_Amphenol_10118194_Horizontal","USB Mini Type B connector",""
"JP1, JP5, ","2","PINHD_1X03","PINHD_1X03","no_pinhd:PINHD_1X03_2.54_1mm_Round","",""
"JP2, JP6, ","2","PINHD_1X04","PINHD_1X04","no_pinhd:PINHD_1X04_2.54_1mm_Round","",""
"JP3, JP4, ","2","PINHD_1X01","PINHD_1X01","no_pinhd:PINHD_1X01_2.54_1mm_Square","",""
"L1, ","1","2.2µH","L","no_common:L_1210_3225Metric","Inductor",""
"LED1, ","1","Green","LED","no_common:LED_0805_2012Metric","Light emitting diode",""
"LED2, ","1","Red","LED","no_common:LED_0805_2012Metric","Light emitting diode",""
"LED3, ","1","SIG0","LED","LED_THT:LED_D5.0mm","Light emitting diode",""
"LED4, ","1","SIG1","LED","LED_THT:LED_D5.0mm","Light emitting diode",""
"LED5, ","1","SIG2","LED","LED_THT:LED_D5.0mm","Light emitting diode",""
"LOGO1, ","1","brick_logo","brick_logo","no_brick_logo:x8mm","",""
"LOGO2, ","1","brick_logo","brick_logo","no_brick_logo:x17mm","",""
"Q1, ","1","8205A","8205A","no_common:TSSOP8_MS","",""
"Q3, ","1","CJ2302","CJ2302","no_common:SOT23","",""
"Q4, ","1","MMBT2907A","MMBT2907A","no_common:SOT23","Small Signal PNP Transistor",""
"R1, R16, R24, ","3","330","R","no_common:R_0603_1608Metric","Resistor",""
"R2, R11, R14, R17, ","4","1k","R","no_common:R_0805_2012Metric","Resistor",""
"R3, R4, R7, R13, R18, R19, ","6","10k","R","no_common:R_0805_2012Metric","Resistor",""
"R5, R6, ","2","3.9k","R","no_common:R_0805_2012Metric","Resistor",""
"R8, ","1","2.7M","R","no_common:R_0805_2012Metric","Resistor",""
"R9, R21, ","2","590k","R","no_common:R_0805_2012Metric","Resistor",""
"R10, ","1","100","R","no_common:R_0805_2012Metric","Resistor",""
"R12, ","1","0.4","R","no_common:R_0805_2012Metric","Resistor",""
"R15, ","1","3k","R","no_common:R_0805_2012Metric","Resistor",""
"R20, ","1","130k","R","no_common:R_0805_2012Metric","Resistor",""
"R22, ","1","6,04k","R","no_common:R_0805_2012Metric","Resistor",""
"R23, ","1","12k","R","no_common:R_0805_2012Metric","Resistor",""
"SJ1, ","1","LED-DIS","SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","Solder Jumper, 2-pole, open",""
"SJ2, ","1","400","SolderJumper_2_Bridged","Jumper:SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm","Solder Jumper, 2-pole, closed/bridged",""
"SJ3, ","1","200","SolderJumper_2_Bridged","Jumper:SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm","Solder Jumper, 2-pole, closed/bridged",""
"SJ4, ","1","100","SolderJumper_2_Bridged","Jumper:SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm","Solder Jumper, 2-pole, closed/bridged",""
"SJ5, ","1","CHRG-DIS","SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","Solder Jumper, 2-pole, open",""
"SJ6, ","1","SIG-EN","SolderJumper_2_Bridged","Jumper:SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm","Solder Jumper, 2-pole, closed/bridged",""
"SJ7, ","1","RDIS-SIG0","SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","Solder Jumper, 2-pole, open",""
"SJ8, ","1","RDIS-SIG1","SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","Solder Jumper, 2-pole, open",""
"SJ9, ","1","RDIS-SIG2","SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","Solder Jumper, 2-pole, open",""
"SW1, ","1","KMR_231_G_LFS","KMR_231_G_LFS","no_common:KMR_231_G_LFS","",""
"SW2, ","1","SSSS820101","SSSS820101","no_common:SSSS820101","",""
"U1, ","1","ZD8028IB5TR","ZD8028IB5TR","no_common:SOT23-5","",""
"U3, ","1","DW01A","DW01A","no_common:SOT23-6","",""
"U4, ","1","TP4056","TP4056","no_common:SOIC8_TP","",""
